name,age,country,year,Date_Given,sports,gold_medal,silver_medal,brone_medal,total_medal,New_name
Michael Phelps,23.0,United States,2008,2008-08-24,Swimming,8,0,0,8,Michael Phelps
Michael Phelps,19.0,United States,2004,2004-08-29,Swimming,6,0,2,8,Michael Phelps
Michael Phelps,27.0,United States,2012,2012-08-12,Swimming,4,2,0,6,Michael Phelps
Natalie Coughlin,25.0,United States,2008,2008-08-24,Swimming,1,2,3,6,Natalie Coughlin
Aleksey Nemov,24.0,Russia,2000,2000-10-01,Gymnastics,2,1,3,6,Aleksey Nemov
Alicia Coutts,24.0,Australia,2012,2012-08-12,Swimming,1,3,1,5,Alicia Coutts
Missy Franklin,17.0,United States,2012,2012-08-12,Swimming,4,0,1,5,Missy Franklin
Ryan Lochte,27.0,United States,2012,2012-08-12,Swimming,2,2,1,5,Ryan Lochte
Allison Schmitt,22.0,United States,2012,2012-08-12,Swimming,3,1,1,5,Allison Schmitt
Natalie Coughlin,21.0,United States,2004,2004-08-29,Swimming,2,2,1,5,Natalie Coughlin
Ian Thorpe,17.0,Australia,2000,2000-10-01,Swimming,3,2,0,5,Ian Thorpe
Dara Torres,33.0,United States,2000,2000-10-01,Swimming,2,0,3,5,Dara Torres
Cindy Klassen,26.0,Canada,2006,2006-02-26,Speed Skating,1,2,2,5,Cindy Klassen
Nastia Liukin,18.0,United States,2008,2008-08-24,Gymnastics,1,3,1,5,Nastia Liukin
Marit Bjørgen,29.0,Norway,2010,2010-02-28,Cross Country Skiing,3,1,1,5,Marit Bjorgen
Sun Yang,20.0,China,2012,2012-08-12,Swimming,2,1,1,4,Sun Yang
Kirsty Coventry,24.0,Zimbabwe,2008,2008-08-24,Swimming,1,3,0,4,Kirsty Coventry
Libby Lenton-Trickett,23.0,Australia,2008,2008-08-24,Swimming,2,1,1,4,Libby Lenton Trickett
Ryan Lochte,24.0,United States,2008,2008-08-24,Swimming,2,0,2,4,Ryan Lochte
Inge de Bruijn,30.0,Netherlands,2004,2004-08-29,Swimming,1,1,2,4,Inge de Bruijn
Petria Thomas,28.0,Australia,2004,2004-08-29,Swimming,3,1,0,4,Petria Thomas
Ian Thorpe,21.0,Australia,2004,2004-08-29,Swimming,2,1,1,4,Ian Thorpe
Inge de Bruijn,27.0,Netherlands,2000,2000-10-01,Swimming,3,1,0,4,Inge de Bruijn
Gary Hall Jr.,25.0,United States,2000,2000-10-01,Swimming,2,1,1,4,Gary Hall Jr 
Michael Klim,23.0,Australia,2000,2000-10-01,Swimming,2,2,0,4,Michael Klim
Susie O'Neill,27.0,Australia,2000,2000-10-01,Swimming,1,3,0,4,Susie O Neill
Jenny Thompson,27.0,United States,2000,2000-10-01,Swimming,3,0,1,4,Jenny Thompson
Pieter van den Hoogenband,22.0,Netherlands,2000,2000-10-01,Swimming,2,0,2,4,Pieter van den Hoogenband
An Hyeon-Su,20.0,South Korea,2006,2006-02-26,Short-Track Speed Skating,3,0,1,4,An Hyeon Su
Aliya Mustafina,17.0,Russia,2012,2012-08-12,Gymnastics,1,1,2,4,Aliya Mustafina
Shawn Johnson,16.0,United States,2008,2008-08-24,Gymnastics,1,3,0,4,Shawn Johnson
Dmitry Sautin,26.0,Russia,2000,2000-10-01,Diving,1,1,2,4,Dmitry Sautin
Leontien Zijlaard-van Moorsel,30.0,Netherlands,2000,2000-10-01,Cycling,3,1,0,4,Leontien Zijlaard van Moorsel
Petter Northug Jr.,24.0,Norway,2010,2010-02-28,Cross Country Skiing,2,1,1,4,Petter Northug Jr 
Ole Einar Bjørndalen,28.0,Norway,2002,2002-02-24,Biathlon,4,0,0,4,Ole Einar Bjorndalen
Janica Kostelic,20.0,Croatia,2002,2002-02-24,Alpine Skiing,3,1,0,4,Janica Kostelic
Nathan Adrian,23.0,United States,2012,2012-08-12,Swimming,2,1,0,3,Nathan Adrian
Yannick Agnel,20.0,France,2012,2012-08-12,Swimming,2,1,0,3,Yannick Agnel
Brittany Elmslie,18.0,Australia,2012,2012-08-12,Swimming,1,2,0,3,Brittany Elmslie
Matt Grevers,27.0,United States,2012,2012-08-12,Swimming,2,1,0,3,Matt Grevers
Ryosuke Irie,22.0,Japan,2012,2012-08-12,Swimming,0,2,1,3,Ryosuke Irie
Cullen Jones,28.0,United States,2012,2012-08-12,Swimming,1,2,0,3,Cullen Jones
Ranomi Kromowidjojo,21.0,Netherlands,2012,2012-08-12,Swimming,2,1,0,3,Ranomi Kromowidjojo
Camille Muffat,22.0,France,2012,2012-08-12,Swimming,1,1,1,3,Camille Muffat
Mel Schlanger,25.0,Australia,2012,2012-08-12,Swimming,1,2,0,3,Mel Schlanger
Emily Seebohm,20.0,Australia,2012,2012-08-12,Swimming,1,2,0,3,Emily Seebohm
Rebecca Soni,25.0,United States,2012,2012-08-12,Swimming,2,1,0,3,Rebecca Soni
Satomi Suzuki,21.0,Japan,2012,2012-08-12,Swimming,0,1,2,3,Satomi Suzuki
Dana Vollmer,24.0,United States,2012,2012-08-12,Swimming,3,0,0,3,Dana Vollmer
Alain Bernard,25.0,France,2008,2008-08-24,Swimming,1,1,1,3,Alain Bernard
László Cseh Jr.,22.0,Hungary,2008,2008-08-24,Swimming,0,3,0,3,Laszlo Cseh Jr 
Matt Grevers,23.0,United States,2008,2008-08-24,Swimming,2,1,0,3,Matt Grevers
Margaret Hoelzer,25.0,United States,2008,2008-08-24,Swimming,0,2,1,3,Margaret Hoelzer
Katie Hoff,19.0,United States,2008,2008-08-24,Swimming,0,1,2,3,Katie Hoff
Leisel Jones,22.0,Australia,2008,2008-08-24,Swimming,2,1,0,3,Leisel Jones
Kosuke Kitajima,25.0,Japan,2008,2008-08-24,Swimming,2,0,1,3,Kosuke Kitajima
Andrew Lauterstein,21.0,Australia,2008,2008-08-24,Swimming,0,1,2,3,Andrew Lauterstein
Jason Lezak,32.0,United States,2008,2008-08-24,Swimming,2,0,1,3,Jason Lezak
Pang Jiaying,23.0,China,2008,2008-08-24,Swimming,0,1,2,3,Pang Jiaying
Aaron Peirsol,25.0,United States,2008,2008-08-24,Swimming,2,1,0,3,Aaron Peirsol
Steph Rice,20.0,Australia,2008,2008-08-24,Swimming,3,0,0,3,Steph Rice
Jess Schipper,21.0,Australia,2008,2008-08-24,Swimming,1,0,2,3,Jess Schipper
Rebecca Soni,21.0,United States,2008,2008-08-24,Swimming,1,2,0,3,Rebecca Soni
Eamon Sullivan,22.0,Australia,2008,2008-08-24,Swimming,0,2,1,3,Eamon Sullivan
Dara Torres,41.0,United States,2008,2008-08-24,Swimming,0,3,0,3,Dara Torres
Amanda Beard,22.0,United States,2004,2004-08-29,Swimming,1,2,0,3,Amanda Beard
Antje Buschschulte,25.0,Germany,2004,2004-08-29,Swimming,0,0,3,3,Antje Buschschulte
Kirsty Coventry,20.0,Zimbabwe,2004,2004-08-29,Swimming,1,1,1,3,Kirsty Coventry
Ian Crocker,21.0,United States,2004,2004-08-29,Swimming,1,1,1,3,Ian Crocker
Grant Hackett,24.0,Australia,2004,2004-08-29,Swimming,1,2,0,3,Grant Hackett
Brendan Hansen,22.0,United States,2004,2004-08-29,Swimming,1,1,1,3,Brendan Hansen
Jodie Henry,20.0,Australia,2004,2004-08-29,Swimming,3,0,0,3,Jodie Henry
Otylia Jedrzejczak,20.0,Poland,2004,2004-08-29,Swimming,1,2,0,3,Otylia Jedrzejczak
Leisel Jones,18.0,Australia,2004,2004-08-29,Swimming,1,1,1,3,Leisel Jones
Kosuke Kitajima,21.0,Japan,2004,2004-08-29,Swimming,2,0,1,3,Kosuke Kitajima
Laure Manaudou,17.0,France,2004,2004-08-29,Swimming,1,1,1,3,Laure Manaudou
Aaron Peirsol,21.0,United States,2004,2004-08-29,Swimming,3,0,0,3,Aaron Peirsol
Kaitlin Sandeno,21.0,United States,2004,2004-08-29,Swimming,1,1,1,3,Kaitlin Sandeno
Roland Schoeman,24.0,South Africa,2004,2004-08-29,Swimming,1,1,1,3,Roland Schoeman
Pieter van den Hoogenband,26.0,Netherlands,2004,2004-08-29,Swimming,1,2,0,3,Pieter van den Hoogenband
Therese Alshammar,23.0,Sweden,2000,2000-10-01,Swimming,0,2,1,3,Therese Alshammar
Yana Klochkova,18.0,Ukraine,2000,2000-10-01,Swimming,2,1,0,3,Yana Klochkova
Lenny Krayzelburg,24.0,United States,2000,2000-10-01,Swimming,3,0,0,3,Lenny Krayzelburg
Massimiliano Rosolino,22.0,Italy,2000,2000-10-01,Swimming,1,1,1,3,Massimiliano Rosolino
Petria Thomas,25.0,Australia,2000,2000-10-01,Swimming,0,2,1,3,Petria Thomas
Matt Welsh,23.0,Australia,2000,2000-10-01,Swimming,0,2,1,3,Matt Welsh
Lee Jeong-Su,20.0,South Korea,2010,2010-02-28,Short-Track Speed Skating,2,1,0,3,Lee Jeong Su
Apolo Anton Ohno,27.0,United States,2010,2010-02-28,Short-Track Speed Skating,0,1,2,3,Apolo Anton Ohno
Wang Meng,24.0,China,2010,2010-02-28,Short-Track Speed Skating,3,0,0,3,Wang Meng
Jin Seon-Yu,17.0,South Korea,2006,2006-02-26,Short-Track Speed Skating,3,0,0,3,Jin Seon Yu
Lee Ho-Seok,19.0,South Korea,2006,2006-02-26,Short-Track Speed Skating,1,2,0,3,Lee Ho Seok
Apolo Anton Ohno,23.0,United States,2006,2006-02-26,Short-Track Speed Skating,1,0,2,3,Apolo Anton Ohno
Wang Meng,20.0,China,2006,2006-02-26,Short-Track Speed Skating,1,1,1,3,Wang Meng
Marc Gagnon,26.0,Canada,2002,2002-02-24,Short-Track Speed Skating,2,0,1,3,Marc Gagnon
Yang Yang (A),25.0,China,2002,2002-02-24,Short-Track Speed Skating,2,1,0,3,Yang Yang  A 
Stephanie Beckert,21.0,Germany,2010,2010-02-28,Speed Skating,1,2,0,3,Stephanie Beckert
Martina Sáblíková,22.0,Czech Republic,2010,2010-02-28,Speed Skating,2,0,1,3,Martina Sablikova
Enrico Fabris,24.0,Italy,2006,2006-02-26,Speed Skating,2,0,1,3,Enrico Fabris
Chad Hedrick,28.0,United States,2006,2006-02-26,Speed Skating,1,1,1,3,Chad Hedrick
Jochem Uytdehaage,25.0,Netherlands,2002,2002-02-24,Speed Skating,2,1,0,3,Jochem Uytdehaage
Sabine Völker,28.0,Germany,2002,2002-02-24,Speed Skating,0,2,1,3,Sabine Volker
Gregor Schlierenzauer,20.0,Austria,2010,2010-02-28,Ski Jumping,1,0,2,3,Gregor Schlierenzauer
Lars Bystøl,27.0,Norway,2006,2006-02-26,Ski Jumping,1,0,2,3,Lars Bystol
Johnny Spillane,29.0,United States,2010,2010-02-28,Nordic Combined,0,3,0,3,Johnny Spillane
Felix Gottwald,30.0,Austria,2006,2006-02-26,Nordic Combined,2,1,0,3,Felix Gottwald
Georg Hettich,27.0,Germany,2006,2006-02-26,Nordic Combined,1,1,1,3,Georg Hettich
Felix Gottwald,26.0,Austria,2002,2002-02-24,Nordic Combined,0,0,3,3,Felix Gottwald
Samppa Lajunen,22.0,Finland,2002,2002-02-24,Nordic Combined,3,0,0,3,Samppa Lajunen
Aly Raisman,18.0,United States,2012,2012-08-12,Gymnastics,2,0,1,3,Aly Raisman
Kohei Uchimura,23.0,Japan,2012,2012-08-12,Gymnastics,1,2,0,3,Kohei Uchimura
Zou Kai,24.0,China,2012,2012-08-12,Gymnastics,2,0,1,3,Zou Kai
Cheng Fei,20.0,China,2008,2008-08-24,Gymnastics,1,0,2,3,Cheng Fei
Yang Wei,28.0,China,2008,2008-08-24,Gymnastics,2,1,0,3,Yang Wei
Yang Yilin,15.0,China,2008,2008-08-24,Gymnastics,1,0,2,3,Yang Yilin
Zou Kai,20.0,China,2008,2008-08-24,Gymnastics,3,0,0,3,Zou Kai
Marian Dragulescu,23.0,Romania,2004,2004-08-29,Gymnastics,0,1,2,3,Marian Dragulescu
Paul Hamm,21.0,United States,2004,2004-08-29,Gymnastics,1,2,0,3,Paul Hamm
Carly Patterson,16.0,United States,2004,2004-08-29,Gymnastics,1,2,0,3,Carly Patterson
Catalina Ponor,16.0,Romania,2004,2004-08-29,Gymnastics,3,0,0,3,Catalina Ponor
Simona Amânar,20.0,Romania,2000,2000-10-01,Gymnastics,2,0,1,3,Simona Amanar
Svetlana Khorkina,21.0,Russia,2000,2000-10-01,Gymnastics,1,2,0,3,Svetlana Khorkina
Yekaterina Lobaznyuk,17.0,Russia,2000,2000-10-01,Gymnastics,0,2,1,3,Yekaterina Lobaznyuk
Yelena Zamolodchikova,17.0,Russia,2000,2000-10-01,Gymnastics,2,1,0,3,Yelena Zamolodchikova
Guo Shuang,26.0,China,2012,2012-08-12,Cycling,0,2,1,3,Guo Shuang
Chris Hoy,32.0,Great Britain,2008,2008-08-24,Cycling,3,0,0,3,Chris Hoy
Bradley Wiggins,24.0,Great Britain,2004,2004-08-29,Cycling,1,1,1,3,Bradley Wiggins
Florian Rousseau,26.0,France,2000,2000-10-01,Cycling,2,1,0,3,Florian Rousseau
Justyna Kowalczyk,27.0,Poland,2010,2010-02-28,Cross Country Skiing,1,1,1,3,Justyna Kowalczyk
Johan Olsson,29.0,Sweden,2010,2010-02-28,Cross Country Skiing,1,0,2,3,Johan Olsson
Stefania Belmondo,33.0,Italy,2002,2002-02-24,Cross Country Skiing,1,1,1,3,Stefania Belmondo
Yuliya Chepalova,25.0,Russia,2002,2002-02-24,Cross Country Skiing,1,1,1,3,Yuliya Chepalova
Frode Estil,29.0,Norway,2002,2002-02-24,Cross Country Skiing,2,1,0,3,Frode Estil
Bente Skari-Martinsen,29.0,Norway,2002,2002-02-24,Cross Country Skiing,1,1,1,3,Bente Skari Martinsen
Magdalena Neuner,23.0,Germany,2010,2010-02-28,Biathlon,2,1,0,3,Magdalena Neuner
Emil Hegle Svendsen,24.0,Norway,2010,2010-02-28,Biathlon,2,1,0,3,Emil Hegle Svendsen
Albina Akhatova,29.0,Russia,2006,2006-02-26,Biathlon,1,0,2,3,Albina Akhatova
Ole Einar Bjørndalen,32.0,Norway,2006,2006-02-26,Biathlon,0,2,1,3,Ole Einar Bjorndalen
Sven Fischer,34.0,Germany,2006,2006-02-26,Biathlon,2,0,1,3,Sven Fischer
Martina Glagow-Beck,26.0,Germany,2006,2006-02-26,Biathlon,0,3,0,3,Martina Glagow Beck
Michael Greis,29.0,Germany,2006,2006-02-26,Biathlon,3,0,0,3,Michael Greis
Kati Wilhelm,29.0,Germany,2006,2006-02-26,Biathlon,1,2,0,3,Kati Wilhelm
Kati Wilhelm,25.0,Germany,2002,2002-02-24,Biathlon,2,1,0,3,Kati Wilhelm
Yohan Blake,22.0,Jamaica,2012,2012-08-12,Athletics,1,2,0,3,Yohan Blake
Usain Bolt,25.0,Jamaica,2012,2012-08-12,Athletics,3,0,0,3,Usain Bolt
Allyson Felix,26.0,United States,2012,2012-08-12,Athletics,3,0,0,3,Allyson Felix
Shelly-Ann Fraser-Pryce,25.0,Jamaica,2012,2012-08-12,Athletics,1,2,0,3,Shelly Ann Fraser Pryce
Carmelita Jeter,32.0,United States,2012,2012-08-12,Athletics,1,1,1,3,Carmelita Jeter
Usain Bolt,21.0,Jamaica,2008,2008-08-24,Athletics,3,0,0,3,Usain Bolt
Veronica Campbell-Brown,22.0,Jamaica,2004,2004-08-29,Athletics,2,0,1,3,Veronica Campbell Brown
Justin Gatlin,22.0,United States,2004,2004-08-29,Athletics,1,1,1,3,Justin Gatlin
Bode Miller,32.0,United States,2010,2010-02-28,Alpine Skiing,1,1,1,3,Bode Miller
Aksel Lund Svindal,27.0,Norway,2010,2010-02-28,Alpine Skiing,1,1,1,3,Aksel Lund Svindal
Anja Pärson,24.0,Sweden,2006,2006-02-26,Alpine Skiing,1,0,2,3,Anja Parson
Stephan Eberharter,32.0,Austria,2002,2002-02-24,Alpine Skiing,1,1,1,3,Stephan Eberharter
Ding Ning,22.0,China,2012,2012-08-12,Table Tennis,1,1,0,2,Ding Ning
Feng Tian Wei,25.0,Singapore,2012,2012-08-12,Table Tennis,0,0,2,2,Feng Tian Wei
Li Xiaoxia,24.0,China,2012,2012-08-12,Table Tennis,2,0,0,2,Li Xiaoxia
Dmitrij Ovtcharov,23.0,Germany,2012,2012-08-12,Table Tennis,0,0,2,2,Dmitrij Ovtcharov
Wang Hao,28.0,China,2012,2012-08-12,Table Tennis,1,1,0,2,Wang Hao
Zhang Jike,24.0,China,2012,2012-08-12,Table Tennis,2,0,0,2,Zhang Jike
Guo Yue,20.0,China,2008,2008-08-24,Table Tennis,1,0,1,2,Guo Yue
Ma Lin,28.0,China,2008,2008-08-24,Table Tennis,2,0,0,2,Ma Lin
Wang Hao,24.0,China,2008,2008-08-24,Table Tennis,1,1,0,2,Wang Hao
Wang Liqin,30.0,China,2008,2008-08-24,Table Tennis,1,0,1,2,Wang Liqin
Wang Nan,29.0,China,2008,2008-08-24,Table Tennis,1,1,0,2,Wang Nan
Zhang Yining,26.0,China,2008,2008-08-24,Table Tennis,2,0,0,2,Zhang Yining
Zhang Yining,22.0,China,2004,2004-08-29,Table Tennis,2,0,0,2,Zhang Yining
Kong Linghui,24.0,China,2000,2000-10-01,Table Tennis,1,1,0,2,Kong Linghui
Li Ju,24.0,China,2000,2000-10-01,Table Tennis,1,1,0,2,Li Ju
Liu Guoliang,24.0,China,2000,2000-10-01,Table Tennis,0,1,1,2,Liu Guoliang
Wang Nan,21.0,China,2000,2000-10-01,Table Tennis,2,0,0,2,Wang Nan
Viktoriya Azarenko,22.0,Belarus,2012,2012-08-12,Tennis,1,0,1,2,Viktoriya Azarenko
Mike Bryan,34.0,United States,2012,2012-08-12,Tennis,1,0,1,2,Mike Bryan
Andy Murray,25.0,Great Britain,2012,2012-08-12,Tennis,1,1,0,2,Andy Murray
Serena Williams,30.0,United States,2012,2012-08-12,Tennis,2,0,0,2,Serena Williams
Fernando González,24.0,Chile,2004,2004-08-29,Tennis,1,0,1,2,Fernando Gonzalez
Nicolás Massú,26.0,Chile,2004,2004-08-29,Tennis,2,0,0,2,Nicolas Massu
Venus Williams,20.0,United States,2000,2000-10-01,Tennis,2,0,0,2,Venus Williams
Ona Carbonell,22.0,Spain,2012,2012-08-12,Synchronized Swimming,0,1,1,2,Ona Carbonell
Andrea Fuentes,29.0,Spain,2012,2012-08-12,Synchronized Swimming,0,1,1,2,Andrea Fuentes
Huang Xuechen,22.0,China,2012,2012-08-12,Synchronized Swimming,0,1,1,2,Huang Xuechen
Nataliya Ishchenko,26.0,Russia,2012,2012-08-12,Synchronized Swimming,2,0,0,2,Nataliya Ishchenko
Liu Ou,25.0,China,2012,2012-08-12,Synchronized Swimming,0,1,1,2,Liu Ou
Svetlana Romashina,22.0,Russia,2012,2012-08-12,Synchronized Swimming,2,0,0,2,Svetlana Romashina
Anastasiya Davydova,25.0,Russia,2008,2008-08-24,Synchronized Swimming,2,0,0,2,Anastasiya Davydova
Andrea Fuentes,25.0,Spain,2008,2008-08-24,Synchronized Swimming,0,2,0,2,Andrea Fuentes
Gemma Mengual,31.0,Spain,2008,2008-08-24,Synchronized Swimming,0,2,0,2,Gemma Mengual
Anastasiya Yermakova,25.0,Russia,2008,2008-08-24,Synchronized Swimming,2,0,0,2,Anastasiya Yermakova
Alison Bartosik,21.0,United States,2004,2004-08-29,Synchronized Swimming,0,0,2,2,Alison Bartosik
Anastasiya Davydova,21.0,Russia,2004,2004-08-29,Synchronized Swimming,2,0,0,2,Anastasiya Davydova
Anna Kozlova,31.0,United States,2004,2004-08-29,Synchronized Swimming,0,0,2,2,Anna Kozlova
Miya Tachibana,29.0,Japan,2004,2004-08-29,Synchronized Swimming,0,2,0,2,Miya Tachibana
Miho Takeda,27.0,Japan,2004,2004-08-29,Synchronized Swimming,0,2,0,2,Miho Takeda
Anastasiya Yermakova,21.0,Russia,2004,2004-08-29,Synchronized Swimming,2,0,0,2,Anastasiya Yermakova
Olga Brusnikina,21.0,Russia,2000,2000-10-01,Synchronized Swimming,2,0,0,2,Olga Brusnikina
Mariya Kiselyova,25.0,Russia,2000,2000-10-01,Synchronized Swimming,2,0,0,2,Mariya Kiselyova
Miya Tachibana,25.0,Japan,2000,2000-10-01,Synchronized Swimming,0,2,0,2,Miya Tachibana
Miho Takeda,24.0,Japan,2000,2000-10-01,Synchronized Swimming,0,2,0,2,Miho Takeda
Becky Adlington,23.0,Great Britain,2012,2012-08-12,Swimming,0,0,2,2,Becky Adlington
Bronte Barratt,23.0,Australia,2012,2012-08-12,Swimming,0,1,1,2,Bronte Barratt
Elizabeth Beisel,19.0,United States,2012,2012-08-12,Swimming,0,1,1,2,Elizabeth Beisel
Mireia Belmonte,21.0,Spain,2012,2012-08-12,Swimming,0,2,0,2,Mireia Belmonte
Ricky Berens,24.0,United States,2012,2012-08-12,Swimming,1,1,0,2,Ricky Berens
Aleksandra Gerasimenya,26.0,Belarus,2012,2012-08-12,Swimming,0,2,0,2,Aleksandra Gerasimenya
Brendan Hansen,30.0,United States,2012,2012-08-12,Swimming,1,0,1,2,Brendan Hansen
Jessica Hardy,25.0,United States,2012,2012-08-12,Swimming,1,0,1,2,Jessica Hardy
Chad le Clos,20.0,South Africa,2012,2012-08-12,Swimming,1,1,0,2,Chad le Clos
Clément Lefert,24.0,France,2012,2012-08-12,Swimming,1,1,0,2,Clement Lefert
Amaury Leveaux,26.0,France,2012,2012-08-12,Swimming,1,1,0,2,Amaury Leveaux
James Magnussen,21.0,Australia,2012,2012-08-12,Swimming,0,1,1,2,James Magnussen
Takeshi Matsuda,28.0,Japan,2012,2012-08-12,Swimming,0,1,1,2,Takeshi Matsuda
Oussama Mellouli,28.0,Tunisia,2012,2012-08-12,Swimming,1,0,1,2,Oussama Mellouli
Park Tae-Hwan,22.0,South Korea,2012,2012-08-12,Swimming,0,2,0,2,Park Tae Hwan
Christian Sprenger,26.0,Australia,2012,2012-08-12,Swimming,0,1,1,2,Christian Sprenger
Jeremy Stravius,24.0,France,2012,2012-08-12,Swimming,1,1,0,2,Jeremy Stravius
Aya Terakawa,27.0,Japan,2012,2012-08-12,Swimming,0,0,2,2,Aya Terakawa
Nick Thoman,26.0,United States,2012,2012-08-12,Swimming,1,1,0,2,Nick Thoman
Marleen Veldhuis,33.0,Netherlands,2012,2012-08-12,Swimming,0,1,1,2,Marleen Veldhuis
Ye Shiwen,16.0,China,2012,2012-08-12,Swimming,2,0,0,2,Ye Shiwen
Becky Adlington,19.0,Great Britain,2008,2008-08-24,Swimming,2,0,0,2,Becky Adlington
Leith Brodie,22.0,Australia,2008,2008-08-24,Swimming,0,0,2,2,Leith Brodie
Cate Campbell,16.0,Australia,2008,2008-08-24,Swimming,0,0,2,2,Cate Campbell
César Cielo Filho,21.0,Brazil,2008,2008-08-24,Swimming,1,0,1,2,Cesar Cielo Filho
Hugues Duboscq,26.0,France,2008,2008-08-24,Swimming,0,0,2,2,Hugues Duboscq
Felicity Galvez,23.0,Australia,2008,2008-08-24,Swimming,2,0,0,2,Felicity Galvez
Grant Hackett,28.0,Australia,2008,2008-08-24,Swimming,0,1,1,2,Grant Hackett
Kara Lynn Joyce,22.0,United States,2008,2008-08-24,Swimming,0,2,0,2,Kara Lynn Joyce
Amaury Leveaux,22.0,France,2008,2008-08-24,Swimming,0,2,0,2,Amaury Leveaux
Christine Magnuson,22.0,United States,2008,2008-08-24,Swimming,0,2,0,2,Christine Magnuson
Patrick Murphy,24.0,Australia,2008,2008-08-24,Swimming,0,0,2,2,Patrick Murphy
Park Tae-Hwan,18.0,South Korea,2008,2008-08-24,Swimming,1,1,0,2,Park Tae Hwan
Shayne Reese,25.0,Australia,2008,2008-08-24,Swimming,1,0,1,2,Shayne Reese
Brenton Rickard,24.0,Australia,2008,2008-08-24,Swimming,0,2,0,2,Brenton Rickard
Mel Schlanger,21.0,Australia,2008,2008-08-24,Swimming,1,0,1,2,Mel Schlanger
Julia Smit,20.0,United States,2008,2008-08-24,Swimming,0,1,1,2,Julia Smit
Britta Steffen,24.0,Germany,2008,2008-08-24,Swimming,2,0,0,2,Britta Steffen
Hayden Stoeckel,24.0,Australia,2008,2008-08-24,Swimming,0,1,1,2,Hayden Stoeckel
Matt Targett,22.0,Australia,2008,2008-08-24,Swimming,0,1,1,2,Matt Targett
Peter Vanderkaay,24.0,United States,2008,2008-08-24,Swimming,1,0,1,2,Peter Vanderkaay
Arkady Vyachanin,24.0,Russia,2008,2008-08-24,Swimming,0,0,2,2,Arkady Vyachanin
Garrett Weber-Gale,23.0,United States,2008,2008-08-24,Swimming,2,0,0,2,Garrett Weber Gale
Lindsay Benko,27.0,United States,2004,2004-08-29,Swimming,1,1,0,2,Lindsay Benko
Gary Hall Jr.,29.0,United States,2004,2004-08-29,Swimming,1,0,1,2,Gary Hall Jr 
Brooke Hanson,26.0,Australia,2004,2004-08-29,Swimming,1,1,0,2,Brooke Hanson
Kara Lynn Joyce,18.0,United States,2004,2004-08-29,Swimming,0,2,0,2,Kara Lynn Joyce
Klete Keller,22.0,United States,2004,2004-08-29,Swimming,1,0,1,2,Klete Keller
Yana Klochkova,22.0,Ukraine,2004,2004-08-29,Swimming,2,0,0,2,Yana Klochkova
Rachel Komisarz,27.0,United States,2004,2004-08-29,Swimming,1,1,0,2,Rachel Komisarz
Libby Lenton-Trickett,19.0,Australia,2004,2004-08-29,Swimming,1,0,1,2,Libby Lenton Trickett
Jason Lezak,28.0,United States,2004,2004-08-29,Swimming,1,0,1,2,Jason Lezak
Ryan Lochte,20.0,United States,2004,2004-08-29,Swimming,1,1,0,2,Ryan Lochte
Alice Mills,18.0,Australia,2004,2004-08-29,Swimming,2,0,0,2,Alice Mills
Tomomi Morita,19.0,Japan,2004,2004-08-29,Swimming,0,0,2,2,Tomomi Morita
Markus Rogan,22.0,Austria,2004,2004-08-29,Swimming,0,2,0,2,Markus Rogan
Jenny Thompson,31.0,United States,2004,2004-08-29,Swimming,0,2,0,2,Jenny Thompson
Franziska van Almsick,26.0,Germany,2004,2004-08-29,Swimming,0,0,2,2,Franziska van Almsick
Neil Walker,28.0,United States,2004,2004-08-29,Swimming,1,0,1,2,Neil Walker
Amanda Weir,18.0,United States,2004,2004-08-29,Swimming,0,2,0,2,Amanda Weir
Takashi Yamamoto,26.0,Japan,2004,2004-08-29,Swimming,0,1,1,2,Takashi Yamamoto
Brooke Bennett,20.0,United States,2000,2000-10-01,Swimming,2,0,0,2,Brooke Bennett
Beatrice Coada-Caslaru,25.0,Romania,2000,2000-10-01,Swimming,0,1,1,2,Beatrice Coada Caslaru
Josh Davis,28.0,United States,2000,2000-10-01,Swimming,0,2,0,2,Josh Davis
Tom Dolan,25.0,United States,2000,2000-10-01,Swimming,1,1,0,2,Tom Dolan
Anthony Ervin,19.0,United States,2000,2000-10-01,Swimming,1,1,0,2,Anthony Ervin
Domenico Fioravanti,23.0,Italy,2000,2000-10-01,Swimming,2,0,0,2,Domenico Fioravanti
Grant Hackett,20.0,Australia,2000,2000-10-01,Swimming,2,0,0,2,Grant Hackett
Geoff Huegill,21.0,Australia,2000,2000-10-01,Swimming,0,1,1,2,Geoff Huegill
Leisel Jones,15.0,Australia,2000,2000-10-01,Swimming,0,2,0,2,Leisel Jones
Klete Keller,18.0,United States,2000,2000-10-01,Swimming,0,1,1,2,Klete Keller
Jason Lezak,24.0,United States,2000,2000-10-01,Swimming,1,1,0,2,Jason Lezak
Diana Mocanu,16.0,Romania,2000,2000-10-01,Swimming,2,0,0,2,Diana Mocanu
Martina Moravcová,24.0,Slovakia,2000,2000-10-01,Swimming,0,2,0,2,Martina Moravcova
Ed Moses,20.0,United States,2000,2000-10-01,Swimming,1,1,0,2,Ed Moses
Diana Munz,18.0,United States,2000,2000-10-01,Swimming,1,1,0,2,Diana Munz
Mai Nakamura,21.0,Japan,2000,2000-10-01,Swimming,0,1,1,2,Mai Nakamura
